,0,1,2,3,4,5,6,7,8,9
0,1.17,1.17,1.17,1.17,1.17,1.18,1.17,1.17,1.18,1.17
1,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.26,2.25
2,3.67,3.67,3.67,3.68,3.69,3.67,3.67,3.67,3.67,3.67
3,5.52,5.51,5.52,5.54,5.51,5.51,5.51,5.52,5.51,5.85
4,8.06,7.77,7.77,7.79,7.77,7.78,7.78,7.77,7.78,7.78
5,10.49,10.45,10.48,10.76,10.46,10.45,10.45,10.45,10.46,10.45
6,13.56,13.59,13.55,13.66,13.55,13.56,13.55,13.56,13.54,13.54
7,0.73,0.73,0.73,0.72,0.72,0.73,0.72,0.75,0.73,0.73
8,1.28,1.27,1.26,1.26,1.27,1.27,1.27,1.27,1.27,1.26
9,1.99,1.98,1.99,2.03,1.98,1.99,1.98,1.99,1.98,1.99
10,2.91,2.91,2.9,2.9,2.92,2.9,2.91,2.91,2.91,2.91
11,4.05,4.03,4.05,4.04,4.06,4.06,4.04,4.05,4.05,4.05
12,5.41,5.39,5.41,5.41,5.39,5.39,5.41,5.38,5.43,5.4
13,6.93,6.95,7.21,7.41,7.61,7.17,7.23,7.36,7.25,6.99
14,0.52,0.53,0.53,0.53,0.55,0.52,0.53,0.52,0.53,0.54
15,0.81,0.8,0.81,0.81,0.83,0.82,0.81,0.81,0.81,0.85
16,1.19,1.2,1.19,1.18,1.2,1.18,1.19,1.19,1.22,1.2
17,1.68,1.68,1.67,1.66,1.68,1.68,1.68,1.69,1.71,1.67
18,2.26,2.27,2.29,2.27,2.27,2.27,2.29,2.28,2.27,2.27
19,3.0,2.97,2.98,2.98,2.95,2.98,3.02,2.98,3.3,2.99
20,3.83,3.78,3.81,3.78,3.83,3.78,3.79,3.78,3.82,3.81
21,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.49
22,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
23,1.1,1.1,1.12,1.11,1.11,1.1,1.1,1.1,1.1,1.1
24,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57
25,2.15,2.16,2.2,2.17,2.19,2.15,2.16,2.16,2.15,2.15
26,2.83,2.84,2.84,2.84,2.89,2.92,2.84,2.83,2.83,2.9
27,3.67,3.67,3.79,3.74,3.75,3.71,3.78,3.77,3.75,3.72
28,0.54,0.49,0.49,0.5,0.49,0.49,0.49,0.5,0.5,0.49
29,0.77,0.78,0.77,0.78,0.77,0.77,0.76,0.76,0.76,0.76
30,1.12,1.12,1.14,1.13,1.13,1.13,1.13,1.12,1.12,1.13
31,1.6,1.59,1.61,1.61,1.59,1.6,1.6,1.63,1.62,1.61
32,2.18,2.2,2.2,2.19,2.23,2.21,2.2,2.2,2.17,2.19
33,2.86,2.88,2.89,2.88,2.93,2.95,2.91,2.89,2.86,2.88
34,3.66,3.71,3.74,3.78,3.73,3.68,3.68,3.68,3.67,3.68
