,0,1,2,3,4,5,6,7,8,9
0,0.22,0.22,0.22,0.22,0.21,0.23,0.21,0.22,0.22,0.22
1,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32
2,0.45,0.48,0.47,0.46,0.49,0.46,0.45,0.45,0.46,0.45
3,0.64,0.63,0.63,0.63,0.64,0.62,0.64,0.64,0.63,0.64
4,0.86,0.88,0.85,0.88,0.9,0.87,0.85,0.85,0.85,0.85
5,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.12,1.11,1.11
6,1.42,1.44,1.45,1.42,1.42,1.42,1.41,1.42,1.41,1.41
7,0.18,0.18,0.17,0.17,0.17,0.19,0.29,0.23,0.18,0.17
8,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
9,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
10,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
11,0.48,0.48,0.48,0.48,0.48,0.48,0.49,0.48,0.48,0.48
12,0.61,0.61,0.61,0.61,0.61,0.61,0.62,0.61,0.61,0.61
13,0.77,0.76,0.77,0.77,0.77,0.77,0.77,0.76,0.76,0.77
14,0.16,0.17,0.18,0.2,0.17,0.17,0.16,0.16,0.17,0.15
15,0.21,0.18,0.19,0.2,0.21,0.18,0.19,0.19,0.21,0.18
16,0.24,0.21,0.22,0.23,0.22,0.22,0.24,0.22,0.22,0.27
17,0.26,0.26,0.26,0.27,0.28,0.26,0.27,0.27,0.26,0.26
18,0.32,0.32,0.34,0.32,0.32,0.33,0.33,0.31,0.31,0.33
19,0.41,0.38,0.4,0.38,0.4,0.38,0.38,0.38,0.38,0.4
20,0.45,0.48,0.49,0.48,0.51,0.52,0.46,0.48,0.47,0.47
21,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
22,0.17,0.18,0.17,0.17,0.16,0.17,0.17,0.16,0.17,0.17
23,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
24,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24
25,0.29,0.3,0.29,0.29,0.3,0.31,0.29,0.3,0.3,0.29
26,0.36,0.37,0.37,0.36,0.36,0.36,0.36,0.37,0.37,0.36
27,0.44,0.44,0.44,0.44,0.44,0.45,0.45,0.44,0.44,0.44
28,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
29,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16
30,0.22,0.22,0.21,0.22,0.22,0.22,0.22,0.2,0.21,0.22
31,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25
32,0.31,0.3,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.3
33,0.38,0.38,0.37,0.37,0.37,0.38,0.36,0.36,0.38,0.37
34,0.53,0.52,0.5,0.5,0.5,0.5,0.51,0.51,0.45,0.45
