,0,1,2,3,4,5,6,7,8,9
0,0.42,0.42,0.41,0.42,0.42,0.42,0.41,0.41,0.41,0.46
1,0.65,0.69,0.66,0.65,0.65,0.64,0.64,0.65,0.65,0.65
2,0.96,0.96,0.96,0.96,0.96,0.96,0.99,0.97,0.96,0.97
3,1.37,1.37,1.37,1.37,1.36,1.37,1.36,1.36,1.36,1.36
4,1.87,1.87,1.86,1.87,1.9,1.91,2.03,1.87,1.97,1.87
5,2.53,2.55,2.66,2.53,2.46,2.46,2.46,2.46,2.47,2.46
6,3.16,3.15,3.15,3.16,3.15,3.15,3.15,3.2,3.15,3.14
7,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
8,0.43,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.44,0.43
9,0.59,0.59,0.6,0.59,0.59,0.59,0.63,0.61,0.6,0.59
10,0.79,0.8,0.79,0.8,0.79,0.79,0.81,0.81,0.79,0.79
11,1.05,1.04,1.04,1.04,1.04,1.05,1.04,1.05,1.04,1.05
12,1.35,1.34,1.34,1.34,1.38,1.35,1.34,1.34,1.35,1.35
13,1.69,1.69,1.7,1.7,1.7,1.69,1.69,1.72,1.69,1.71
14,0.3,0.29,0.29,0.3,0.28,0.27,0.3,0.29,0.29,0.3
15,0.34,0.38,0.35,0.37,0.36,0.36,0.34,0.33,0.39,0.32
16,0.45,0.44,0.43,0.44,0.42,0.42,0.42,0.43,0.42,0.44
17,0.52,0.57,0.52,0.53,0.53,0.54,0.53,0.52,0.53,0.53
18,0.66,0.68,0.66,0.67,0.66,0.66,0.7,0.67,0.66,0.65
19,0.99,0.81,0.83,0.81,0.82,0.8,0.86,0.83,0.82,0.88
20,1.05,1.04,1.06,1.08,1.08,1.12,1.08,1.1,1.13,1.14
21,0.26,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.26,0.27
22,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
23,0.42,0.43,0.41,0.42,0.4,0.44,0.43,0.39,0.42,0.41
24,0.55,0.55,0.55,0.53,0.53,0.53,0.53,0.54,0.54,0.55
25,0.71,0.7,0.69,0.63,0.62,0.63,0.63,0.63,0.63,0.65
26,0.79,0.79,0.79,0.79,0.8,0.79,0.8,0.84,0.8,0.79
27,1.04,1.11,1.08,1.11,1.07,1.11,1.07,1.1,1.07,1.08
28,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27
29,0.32,0.32,0.32,0.33,0.32,0.33,0.32,0.33,0.33,0.32
30,0.42,0.42,0.41,0.44,0.44,0.46,0.46,0.45,0.41,0.39
31,0.51,0.52,0.51,0.51,0.52,0.52,0.51,0.51,0.5,0.51
32,0.65,0.65,0.65,0.7,0.74,0.69,0.65,0.68,0.71,0.67
33,0.8,0.81,0.8,0.82,0.82,0.81,0.83,0.84,0.86,0.88
34,1.13,1.1,1.12,1.14,1.13,1.09,1.11,1.1,1.11,1.12
