,0,1,2,3,4,5,6,7,8,9
0,1.71,1.71,1.7,1.79,1.72,1.71,1.71,1.7,1.71,1.7
1,2.61,2.63,2.7,2.61,2.61,2.61,2.62,2.61,2.62,2.61
2,3.84,3.85,3.85,3.85,3.86,3.86,3.86,3.86,3.85,3.86
3,5.46,5.46,5.47,5.47,5.47,5.47,5.48,5.47,5.51,5.46
4,7.46,7.46,7.46,7.46,7.46,7.47,7.46,7.46,7.47,7.48
5,9.84,9.83,9.84,9.84,9.82,9.82,9.83,9.83,9.83,9.83
6,12.59,12.57,12.57,12.59,12.59,12.58,12.57,12.57,12.58,12.58
7,1.31,1.32,1.32,1.31,1.31,1.31,1.31,1.31,1.32,1.31
8,1.76,1.76,1.75,1.75,1.75,1.76,1.75,1.76,1.76,1.75
9,2.37,2.37,2.37,2.36,2.37,2.38,2.38,2.39,2.37,2.46
10,3.33,3.21,3.18,3.19,3.18,3.19,3.2,3.19,3.17,3.17
11,4.18,4.18,4.19,4.17,4.23,4.23,4.25,4.19,4.25,4.24
12,5.39,5.48,5.49,5.49,5.48,5.5,5.5,5.49,5.59,5.38
13,6.74,6.8,7.03,6.75,6.93,7.08,7.17,6.95,6.92,6.92
14,1.13,1.17,1.15,1.15,1.14,1.14,1.14,1.15,1.13,1.14
15,1.36,1.35,1.35,1.36,1.36,1.36,1.36,1.36,1.36,1.35
16,1.66,1.7,1.68,1.67,1.66,1.68,1.66,1.67,1.68,1.67
17,2.07,2.09,2.07,2.07,2.09,2.08,2.1,2.13,2.16,2.18
18,2.86,2.86,2.84,2.85,2.83,2.82,2.83,2.82,2.89,2.95
19,3.55,3.56,3.61,3.55,3.66,3.6,3.53,3.56,3.51,3.57
20,4.4,4.93,4.42,4.39,4.41,4.37,4.35,4.43,4.4,4.4
21,1.1,1.1,1.09,1.1,1.1,1.1,1.1,1.1,1.11,1.1
22,1.32,1.35,1.35,1.41,1.4,1.31,1.29,1.32,1.35,1.32
23,1.6,1.63,1.61,1.61,1.61,1.6,1.61,1.6,1.61,1.6
24,2.02,2.02,2.02,2.02,2.04,2.21,2.27,2.25,2.4,2.2
25,2.83,2.83,2.89,2.88,2.85,2.86,2.87,2.83,2.52,2.56
26,3.19,3.2,3.48,3.49,3.49,3.18,3.21,3.22,3.24,3.52
27,4.66,4.66,4.68,4.66,4.65,4.62,4.65,3.86,3.95,3.92
28,1.12,1.11,1.12,1.12,1.11,1.12,1.12,1.12,1.11,1.12
29,1.32,1.32,1.31,1.49,1.32,1.31,1.34,1.31,1.3,1.32
30,1.65,1.62,1.63,1.67,1.72,1.73,1.74,1.71,1.69,1.74
31,2.2,2.21,2.19,2.21,2.22,2.24,2.21,2.17,2.17,2.22
32,2.87,2.86,2.76,2.77,2.81,2.82,2.81,2.76,2.8,2.83
33,3.5,3.47,3.54,3.5,3.5,3.49,3.54,3.46,3.51,3.53
34,4.34,4.43,4.39,4.33,4.32,4.34,4.32,4.38,4.38,4.4
